2026-07-09 14:19:49,805 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3868011 | Output=3868003 | Colunas=16 | Tempo=0:00:21.146400Bronze=67.59Silver=76.72
2026-07-09 14:19:50,062 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Input=23995 | Output=23995 | Colunas=18 | Tempo=0:00:00.256161Bronze=0.47Silver=0.57
2026-07-09 14:19:50,094 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=18 | Tempo=0:00:00.030586Bronze=0.02Silver=0.02
2026-07-09 14:19:50,113 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:00.017326Bronze=0.01Silver=0.01
2026-07-09 14:19:50,182 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=16 | Tempo=0:00:00.067825Bronze=0.21Silver=0.28
2026-07-09 14:19:50,216 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=15 | Tempo=0:00:00.033143Bronze=0.01Silver=0.01
2026-07-09 14:40:57,592 | INFO | Pipeline=Silver | Tabela=alunos | Status=SUCESSO | Input=3868005 | Output=3868005 | Colunas=15 | Tempo=0:00:19.416499Bronze=67.59Silver=76.71
2026-07-09 14:40:57,819 | INFO | Pipeline=Silver | Tabela=municipio | Status=SUCESSO | Input=23995 | Output=23995 | Colunas=18 | Tempo=0:00:00.224080Bronze=0.47Silver=0.57
2026-07-09 14:40:57,844 | INFO | Pipeline=Silver | Tabela=uf | Status=SUCESSO | Input=145 | Output=145 | Colunas=18 | Tempo=0:00:00.024362Bronze=0.02Silver=0.02
2026-07-09 14:40:57,862 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_brasil | Status=SUCESSO | Input=3 | Output=3 | Colunas=11 | Tempo=0:00:00.016736Bronze=0.01Silver=0.01
2026-07-09 14:40:57,921 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_municipio | Status=SUCESSO | Input=10704 | Output=10704 | Colunas=16 | Tempo=0:00:00.058052Bronze=0.21Silver=0.28
2026-07-09 14:40:57,944 | INFO | Pipeline=Silver | Tabela=meta_alfabetizacao_uf | Status=SUCESSO | Input=81 | Output=81 | Colunas=15 | Tempo=0:00:00.021078Bronze=0.01Silver=0.01
